;Cop_pro_D16_1_1;Cop_pro_D16_2_3;Cop_pro_D16_3_2;Cop_pro_D16_3_3;Cop_pro_D16_4_1;Cop_pro_D16_4_2;Cop_pro_D16_4_3;Cop_ctr_D16_1_1;Cop_ctr_D16_1_2;Cop_ctr_D16_1_3;Cop_ctr_D16_2_1;Cop_ctr_D16_2_2;Cop_ctr_D16_3_1;Cop_ctr_D16_3_2;Cop_ctr_D16_3_3;Cop_ctr_D16_4_1;Cop_ctr_D16_4_2;Cop_ctr_D16_4_3;Cop_pro_D21_1_1;Cop_pro_D21_1_2;Cop_pro_D21_1_3;Cop_pro_D21_2_1;Cop_pro_D21_2_2;Cop_pro_D21_2_3;Cop_pro_D21_3_1;Cop_pro_D21_3_2;Cop_pro_D21_3_3;Cop_pro_D21_4_1;Cop_pro_D21_4_2;Cop_pro_D21_4_3;Cop_ctr_D21_1_1;Cop_ctr_D21_1_2;Cop_ctr_D21_1_3;Cop_ctr_D21_2_1;Cop_ctr_D21_2_2;Cop_ctr_D21_2_3;Cop_ctr_D21_3_1;Cop_ctr_D21_3_2;Cop_ctr_D21_3_3;Cop_ctr_D21_4_1;Cop_ctr_D21_4_2;Cop_ctr_D21_4_3;Cop_pro_D24_1_1;Cop_pro_D24_1_2;Cop_pro_D24_1_3;Cop_pro_D24_2_1;Cop_pro_D24_2_2;Cop_pro_D24_2_3;Cop_pro_D24_3_1;Cop_pro_D24_3_2;Cop_pro_D24_3_3;Cop_pro_D24_4_1;Cop_pro_D24_4_2;Cop_pro_D24_4_3;Cop_ctr_D24_1_1;Cop_ctr_D24_1_2;Cop_ctr_D24_1_3;Cop_ctr_D24_2_1;Cop_ctr_D24_2_2;Cop_ctr_D24_2_3;Cop_ctr_D24_3_1;Cop_ctr_D24_3_2;Cop_ctr_D24_3_3;Cop_ctr_D24_4_1;Cop_ctr_D24_4_2;Cop_ctr_D24_4_3
Cop_pro_D16_1_1;1;0.5058;0.46106667;0.43663333;0.5446;0.5279;0.517;0.37923333;0.32403333;0.31576667;0.36983333;0.45423333;0.32193333;0.1565;0.1907;0.0748;0.21583333;0.40043333;0.47966667;0.569;0.5017;0.26483333;0.38766667;0.33983333;0.48843333;0.52243333;0.49716667;0.45813333;0.49393333;0.56416667;0.62723333;0.54316667;0.6443;0.33526667;0.35206667;0.31196667;0.48673333;0.49406667;0.44983333;0.5577;0.54506667;0.50573333;0.26396667;0.23136667;0.2651;0.16286667;0.15163333;0.18026667;0.38416667;0.29313333;0.29223333;0.222;0.24633333;0.1476;0.2075;0.23483333;0.28753333;0.23776667;0.2903;0.2661;0.33096667;0.35786667;0.38566667;0.2586;0.20083333;0.2054
Cop_pro_D16_2_3;0.5058;1;0.7705;0.77926667;0.66556667;0.6182;0.62363333;0.37676667;0.28133333;0.31653333;0.39043333;0.3833;0.3001;0.17533333;0.19993333;0.077266667;0.21993333;0.4353;0.4807;0.4846;0.4742;0.3068;0.42663333;0.39213333;0.42493333;0.4301;0.44806667;0.42473333;0.43416667;0.4096;0.38946667;0.4586;0.41846667;0.3702;0.39843333;0.32956667;0.48366667;0.44153333;0.46753333;0.4282;0.4126;0.40836667;0.24223333;0.19173333;0.21886667;0.19273333;0.18773333;0.20876667;0.3868;0.27643333;0.2604;0.2275;0.24356667;0.19776667;0.20226667;0.2271;0.2952;0.23976667;0.29753333;0.25353333;0.36856667;0.38093333;0.45386667;0.2767;0.19906667;0.20403333
Cop_pro_D16_3_2;0.46106667;0.7705;1;0.76216667;0.62503333;0.60423333;0.63206667;0.3705;0.31013333;0.3738;0.42706667;0.49306667;0.2939;0.2128;0.2347;0.092133333;0.27726667;0.45626667;0.45913333;0.46303333;0.44583333;0.26463333;0.42723333;0.37413333;0.3966;0.41076667;0.4257;0.3778;0.39316667;0.3857;0.37786667;0.42456667;0.41166667;0.34226667;0.38083333;0.29813333;0.47623333;0.43313333;0.4552;0.4259;0.416;0.40426667;0.2048;0.14183333;0.17913333;0.13536667;0.1279;0.13393333;0.3767;0.2113;0.20236667;0.18206667;0.19076667;0.13216667;0.17216667;0.1935;0.23343333;0.19313333;0.22546667;0.22716667;0.3174;0.33403333;0.41103333;0.2061;0.16856667;0.17456667
Cop_pro_D16_3_3;0.43663333;0.77926667;0.76216667;1;0.6587;0.62853333;0.6321;0.3793;0.30766667;0.35603333;0.39186667;0.38846667;0.3045;0.20486667;0.2325;0.0888;0.26446667;0.40626667;0.4315;0.4177;0.4122;0.2992;0.40836667;0.39336667;0.3652;0.3695;0.39253333;0.3538;0.36486667;0.34826667;0.3449;0.3905;0.3745;0.34436667;0.3822;0.3211;0.43736667;0.39356667;0.4182;0.38623333;0.3663;0.36203333;0.2368;0.1799;0.2128;0.17903333;0.1698;0.1926;0.3473;0.25233333;0.24446667;0.22083333;0.22926667;0.1685;0.19636667;0.22176667;0.27676667;0.23026667;0.27553333;0.25956667;0.3613;0.37556667;0.43663333;0.25703333;0.1948;0.20083333
Cop_pro_D16_4_1;0.5446;0.66556667;0.62503333;0.6587;1;0.81526667;0.8079;0.44003333;0.3789;0.3868;0.36623333;0.36486667;0.3745;0.1894;0.2303;0.088866667;0.24866667;0.34116667;0.47686667;0.39583333;0.4003;0.30446667;0.45226667;0.4026;0.35753333;0.34986667;0.42963333;0.35906667;0.3685;0.34763333;0.37146667;0.39776667;0.39136667;0.35056667;0.43076667;0.3402;0.45683333;0.43836667;0.48806667;0.438;0.41476667;0.40766667;0.3369;0.28543333;0.33746667;0.21056667;0.2023;0.22386667;0.31163333;0.32603333;0.32823333;0.30006667;0.30943333;0.19573333;0.23726667;0.29133333;0.3227;0.2675;0.3414;0.3284;0.37456667;0.40173333;0.45156667;0.31153333;0.25023333;0.26733333
Cop_pro_D16_4_2;0.5279;0.6182;0.60423333;0.62853333;0.81526667;1;0.88313333;0.44146667;0.43;0.43686667;0.38116667;0.41106667;0.40203333;0.20063333;0.25273333;0.1012;0.28856667;0.34613333;0.42353333;0.366;0.3626;0.27286667;0.4051;0.36373333;0.32453333;0.32756667;0.38096667;0.31656667;0.32973333;0.31173333;0.3266;0.36326667;0.35513333;0.31586667;0.38116667;0.30426667;0.41066667;0.40693333;0.44483333;0.4096;0.38023333;0.39453333;0.29023333;0.22893333;0.2728;0.17056667;0.163;0.18176667;0.29163333;0.26413333;0.2678;0.2564;0.2645;0.15743333;0.20113333;0.2565;0.2894;0.2302;0.2948;0.29276667;0.33776667;0.36316667;0.40566667;0.2673;0.21396667;0.23546667
Cop_pro_D16_4_3;0.517;0.62363333;0.63206667;0.6321;0.8079;0.88313333;1;0.43813333;0.43526667;0.45353333;0.3908;0.45503333;0.39283333;0.1981;0.2457;0.0987;0.29623333;0.35516667;0.45536667;0.37943333;0.3775;0.27566667;0.44256667;0.38443333;0.3435;0.34506667;0.41943333;0.33466667;0.34776667;0.32833333;0.36013333;0.383;0.3795;0.32303333;0.41156667;0.31186667;0.4519;0.43013333;0.48373333;0.454;0.4085;0.4255;0.2821;0.21936667;0.2627;0.16836667;0.15893333;0.17606667;0.31346667;0.25643333;0.25846667;0.25286667;0.25696667;0.15426667;0.20426667;0.25523333;0.28686667;0.22946667;0.2787;0.2829;0.336;0.36376667;0.40956667;0.25416667;0.21723333;0.23683333
Cop_ctr_D16_1_1;0.37923333;0.37676667;0.3705;0.3793;0.44003333;0.44146667;0.43813333;1;0.65966667;0.80993333;0.81886667;0.5441;0.7349;0.6476;0.70526667;0.1042;0.68773333;0.71353333;0.3092;0.3006;0.29593333;0.20653333;0.3048;0.26816667;0.2881;0.2821;0.30063333;0.28823333;0.28973333;0.2803;0.27256667;0.29983333;0.29436667;0.26583333;0.28993333;0.25006667;0.27786667;0.33236667;0.3393;0.2843;0.3047;0.30433333;0.20883333;0.15603333;0.1877;0.10426667;0.0983;0.11603333;0.26973333;0.17333333;0.17823333;0.17386667;0.17493333;0.098233333;0.16083333;0.206;0.231;0.1794;0.251;0.2579;0.2662;0.2966;0.3267;0.2057;0.1685;0.17446667
Cop_ctr_D16_1_2;0.32403333;0.28133333;0.31013333;0.30766667;0.3789;0.43;0.43526667;0.65966667;1;0.72833333;0.60916667;0.56516667;0.6231;0.50723333;0.56116667;0.1351;0.59446667;0.57963333;0.26356667;0.24846667;0.24196667;0.20146667;0.2716;0.2521;0.2393;0.23783333;0.255;0.23823333;0.23876667;0.2352;0.2371;0.24826667;0.24836667;0.24253333;0.24563333;0.24903333;0.24516667;0.29243333;0.304;0.2439;0.2654;0.26516667;0.21263333;0.168;0.18766667;0.11386667;0.10756667;0.1302;0.21616667;0.18386667;0.1908;0.1802;0.17753333;0.11393333;0.19553333;0.21913333;0.24483333;0.1899;0.26596667;0.26663333;0.28993333;0.2636;0.28456667;0.2077;0.17926667;0.1781
Cop_ctr_D16_1_3;0.31576667;0.31653333;0.3738;0.35603333;0.3868;0.43686667;0.45353333;0.80993333;0.72833333;1;0.77306667;0.6027;0.69543333;0.6321;0.68766667;0.10203333;0.74;0.67726667;0.2771;0.2632;0.25823333;0.18446667;0.28933333;0.2655;0.2298;0.22933333;0.2649;0.2206;0.23563333;0.22026667;0.2358;0.25803333;0.2608;0.2372;0.26363333;0.24233333;0.25496667;0.30243333;0.30673333;0.2586;0.2837;0.28026667;0.1873;0.1269;0.16726667;0.072;0.063366667;0.0809;0.22396667;0.1418;0.14536667;0.15386667;0.15;0.0647;0.143;0.18006667;0.2022;0.149;0.2006;0.22793333;0.25626667;0.26796667;0.3035;0.15893333;0.1432;0.16906667
