similarity,group
0.5058,Within_pro
0.46106667,Within_pro
0.43663333,Within_pro
0.5446,Within_pro
0.5279,Within_pro
0.517,Within_pro
0.7705,Within_pro
0.77926667,Within_pro
0.66556667,Within_pro
0.6182,Within_pro
0.62363333,Within_pro
0.76216667,Within_pro
0.62503333,Within_pro
0.60423333,Within_pro
0.63206667,Within_pro
0.6587,Within_pro
0.62853333,Within_pro
0.6321,Within_pro
0.81526667,Within_pro
0.8079,Within_pro
0.88313333,Within_pro
0.65966667,Within_ctr
0.80993333,Within_ctr
0.81886667,Within_ctr
0.5441,Within_ctr
0.7349,Within_ctr
0.6476,Within_ctr
0.70526667,Within_ctr
0.1042,Within_ctr
0.68773333,Within_ctr
0.71353333,Within_ctr
0.72833333,Within_ctr
0.60916667,Within_ctr
0.56516667,Within_ctr
0.6231,Within_ctr
0.50723333,Within_ctr
0.56116667,Within_ctr
0.1351,Within_ctr
0.59446667,Within_ctr
0.57963333,Within_ctr
0.77306667,Within_ctr
0.6027,Within_ctr
0.69543333,Within_ctr
0.6321,Within_ctr
0.68766667,Within_ctr
0.10203333,Within_ctr
0.74,Within_ctr
0.67726667,Within_ctr
0.6213,Within_ctr
0.75596667,Within_ctr
0.67153333,Within_ctr
0.7368,Within_ctr
0.10946667,Within_ctr
0.7265,Within_ctr
0.82713333,Within_ctr
0.4578,Within_ctr
0.39926667,Within_ctr
0.44923333,Within_ctr
0.10783333,Within_ctr
0.52813333,Within_ctr
0.65956667,Within_ctr
0.65233333,Within_ctr
0.71543333,Within_ctr
0.1774,Within_ctr
0.69986667,Within_ctr
0.67196667,Within_ctr
0.86426667,Within_ctr
0.1231,Within_ctr
0.67023333,Within_ctr
0.6154,Within_ctr
0.1302,Within_ctr
0.7196,Within_ctr
0.65266667,Within_ctr
0.1133,Within_ctr
0.11266667,Within_ctr
0.66593333,Within_ctr
0.37923333,Between
0.32403333,Between
0.31576667,Between
0.36983333,Between
0.45423333,Between
0.32193333,Between
0.1565,Between
0.1907,Between
0.0748,Between
0.21583333,Between
0.40043333,Between
0.37676667,Between
0.28133333,Between
0.31653333,Between
0.39043333,Between
0.3833,Between
0.3001,Between
0.17533333,Between
0.19993333,Between
0.077266667,Between
0.21993333,Between
0.4353,Between
0.3705,Between
0.31013333,Between
0.3738,Between
0.42706667,Between
0.49306667,Between
0.2939,Between
0.2128,Between
0.2347,Between
0.092133333,Between
0.27726667,Between
0.45626667,Between
0.3793,Between
0.30766667,Between
0.35603333,Between
0.39186667,Between
0.38846667,Between
0.3045,Between
0.20486667,Between
0.2325,Between
0.0888,Between
0.26446667,Between
0.40626667,Between
0.44003333,Between
0.3789,Between
0.3868,Between
0.36623333,Between
0.36486667,Between
0.3745,Between
0.1894,Between
0.2303,Between
0.088866667,Between
0.24866667,Between
0.34116667,Between
0.44146667,Between
0.43,Between
0.43686667,Between
0.38116667,Between
0.41106667,Between
0.40203333,Between
0.20063333,Between
0.25273333,Between
0.1012,Between
0.28856667,Between
0.34613333,Between
0.43813333,Between
0.43526667,Between
0.45353333,Between
0.3908,Between
0.45503333,Between
0.39283333,Between
0.1981,Between
0.2457,Between
0.0987,Between
0.29623333,Between
0.35516667,Between
