Axis;Eigenvalue;Percent
1;6.1251;26.025
2;4.961;21.079
3;3.124;13.274
4;1.4504;6.1629
5;1.1118;4.7238
6;0.98277;4.1758
7;0.67206;2.8555
8;0.57972;2.4632
9;0.46009;1.9549
10;0.38568;1.6387
11;0.31022;1.3181
12;0.29902;1.2705
13;0.28103;1.1941
14;0.23805;1.0114
15;0.21831;0.92757
16;0.17086;0.72597
17;0.1555;0.66071
18;0.13963;0.59329
19;0.12249;0.52046
20;0.1103;0.46868
21;0.092894;0.3947
22;0.074516;0.31661
23;0.065813;0.27964
24;0.061927;0.26312
25;0.059126;0.25122
26;0.053361;0.22673
27;0.048547;0.20627
28;0.04651;0.19762
29;0.045377;0.1928
30;0.041838;0.17777
31;0.038155;0.16212
32;0.036014;0.15302
33;0.034012;0.14451
34;0.03042;0.12925
35;0.029116;0.12371
36;0.023916;0.10162
37;0.021657;0.092019
38;0.020318;0.086332
39;0.017431;0.074062
40;0.016754;0.071185
41;0.015578;0.066191
42;0.012514;0.053172
43;0.011772;0.05002
44;0.01097;0.04661
45;0.0082579;0.035087
46;0.0068079;0.028926
47;0.0062352;0.026493
48;0.0059579;0.025315
49;0.0051797;0.022008
50;0.0043557;0.018507
51;0.0039264;0.016683
52;0.0035334;0.015013
53;0.003136;0.013325
54;0.0023799;0.010112
55;0.00061995;0.0026341
56;0.00057108;0.0024265
57;9.4416E-15;4.0117E-14
58;-0.00023375;-0.00099318
59;-0.0007847;-0.0033341
60;-0.0015273;-0.0064892
61;-0.0035038;-0.014888
62;-0.0043779;-0.018601
63;-0.0047399;-0.02014
64;-0.0055892;-0.023748
65;-0.0079777;-0.033897
66;-0.0080123;-0.034044
67;-0.0099974;-0.042479
68;-0.0109;-0.046313
69;-0.011823;-0.050235
70;-0.014411;-0.061231
71;-0.01526;-0.06484
72;-0.017616;-0.074849
73;-0.018182;-0.077253
74;-0.019711;-0.083752
75;-0.020881;-0.088724
76;-0.023832;-0.10126
77;-0.025791;-0.10958
78;-0.03239;-0.13762
79;-0.037617;-0.15983
80;-0.042726;-0.18154
81;-0.049278;-0.20938
82;-0.067032;-0.28482
83;-0.10203;-0.43354
84;-0.12155;-0.51647
