Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D21;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D24;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D21;Mean Cop_ctr_D24;
Zotu5;13.5;17.25;17.25;8.17E03;72.3;Overall avg dissimilarity cop_ctr_d16 vs cop_ctr_d21: 78.27;;;Zotu5;13.33;16.04;16.04;8.17E03;174;Overall avg dissimilarity cop_ctr_d16 vs cop_ctr_d24: 83.14;;;Zotu2;8.918;16.41;16.41;7.31E03;1.99E03;Overall avg. Dissimilarity cop_ctr_d21 vs cop_ctr_d24: 54.36
Zotu2;7.629;9.747;27;3.12E03;7.31E03;;;;Zotu1;11.01;13.24;29.27;360;6.96E03;;;;Zotu1;6.656;12.25;28.65;4.7E03;6.96E03;
Zotu9;7.434;9.498;36.5;4.5E03;38.6;;;;Zotu9;7.351;8.842;38.12;4.5E03;88.4;;;;Zotu3;2.764;5.085;33.74;1.14E03;2.13E03;
Zotu1;7.241;9.251;45.75;360;4.7E03;;;;Zotu3;3.518;4.232;42.35;23.2;2.13E03;;;;Zotu6;2.271;4.178;37.91;1.82E03;468;
Zotu21;2.442;3.12;48.87;1.48E03;13.4;;;;Zotu2;3.14;3.777;46.12;3.12E03;1.99E03;;;;Zotu4;1.557;2.865;40.78;1.08E03;1.63E03;
Zotu6;2.033;2.597;51.46;648;1.82E03;;;;Zotu4;2.572;3.093;49.22;83.8;1.63E03;;;;Zotu7;1.542;2.837;43.62;1.24E03;312;
Zotu3;1.856;2.372;53.84;23.2;1.14E03;;;;Zotu21;2.43;2.923;52.14;1.48E03;20.6;;;;Zotu24;1.368;2.517;46.13;19;837;
Zotu8;1.778;2.272;56.11;289;1.35E03;;;;Zotu19;1.568;1.886;54.03;932;90.7;;;;Zotu23;1.357;2.497;48.63;784;151;
Zotu4;1.671;2.135;58.24;83.8;1.08E03;;;;Zotu24;1.392;1.674;55.7;1.91;837;;;;Zotu28;1.329;2.445;51.08;13.8;811;
Zotu7;1.661;2.123;60.37;241;1.24E03;;;;Zotu28;1.346;1.619;57.32;55.5;811;;;;Zotu8;1.274;2.344;53.42;1.35E03;682;
Zotu19;1.544;1.972;62.34;932;16.5;;;;Zotu20;1.263;1.519;58.84;754;78.9;;;;Zotu22;1.174;2.161;55.58;532;557;
Zotu23;1.304;1.666;64;1.36;784;;;;Zotu32;1.145;1.377;60.21;698;10.7;;;;Zotu34;0.9651;1.775;57.36;31.8;600;
Zotu20;1.248;1.595;65.6;754;15.3;;;;Zotu34;0.9974;1.2;61.41;1.64;600;;;;Zotu11;0.8699;1.6;58.96;670;148;
Zotu32;1.136;1.451;67.05;698;16.2;;;;Zotu22;0.9245;1.112;62.53;2.64;557;;;;Zotu37;0.5946;1.094;60.05;2.67;359;
Zotu22;0.8814;1.126;68.18;2.64;532;;;;Zotu8;0.7826;0.9414;63.47;289;682;;;;Zotu30;0.5213;0.959;61.01;10.6;323;
Zotu12;0.6924;0.8847;69.06;118;524;;;;Zotu48;0.6538;0.7864;64.25;397;4.92;;;;Zotu33;0.5033;0.9259;61.93;12.5;314;
Zotu11;0.6846;0.8746;69.94;324;670;;;;Zotu6;0.6199;0.7456;65;648;468;;;;Zotu12;0.497;0.9143;62.85;524;294;
Zotu48;0.6578;0.8404;70.78;397;2.5;;;;Zotu37;0.5971;0.7182;65.72;1.18;359;;;;Zotu15;0.4928;0.9067;63.76;147;409;
Zotu1717;0.5385;0.688;71.46;15.8;339;;;;Zotu15;0.5626;0.6767;66.39;77.3;409;;;;Zotu86;0.4296;0.7903;64.55;0.333;258;
Zotu40;0.5298;0.6769;72.14;319;6.58;;;;Zotu30;0.5371;0.646;67.04;1.09;323;;;;Zotu82;0.4155;0.7645;65.31;2.58;250;
Zotu46;0.4775;0.6101;72.75;309;31.8;;;;Zotu40;0.5323;0.6402;67.68;319;23.4;;;;Zotu1717;0.3869;0.7117;66.02;339;170;
Zotu44;0.3791;0.4844;73.24;64.2;287;;;;Zotu33;0.5279;0.635;68.32;225;314;;;;Zotu59;0.3785;0.6964;66.72;16.8;238;
Zotu55;0.3653;0.4667;73.7;221;6.25;;;;Zotu46;0.4811;0.5787;68.89;309;24.1;;;;Zotu52;0.3765;0.6927;67.41;87;275;
Zotu33;0.3551;0.4537;74.16;225;12.5;;;;Zotu86;0.4302;0.5175;69.41;3.91;258;;;;Zotu44;0.3348;0.6159;68.03;287;96.8;
Zotu588;0.3497;0.4468;74.6;33;239;;;;Zotu82;0.4156;0.4998;69.91;1.27;250;;;;Zotu68;0.3333;0.6132;68.64;26.9;220;
Zotu2118;0.3484;0.4452;75.05;7.18;216;;;;Zotu47;0.4087;0.4916;70.4;6.45;252;;;;Zotu63;0.3276;0.6026;69.24;183;157;
Zotu56;0.3404;0.4349;75.48;2.09;206;;;;Zotu7;0.3965;0.477;70.88;241;312;;;;Zotu10;0.326;0.5997;69.84;2.33;198;
Zotu47;0.3284;0.4196;75.9;6.45;204;;;;Zotu52;0.3948;0.4749;71.36;84.4;275;;;;Zotu31;0.3127;0.5753;70.42;206;51.3;
Zotu31;0.3192;0.4078;76.31;31.5;206;;;;Zotu59;0.3926;0.4722;71.83;2.45;238;;;;Zotu26;0.3072;0.5651;70.98;215;30.4;
Zotu50;0.3191;0.4077;76.72;0.727;192;;;;Zotu55;0.3712;0.4464;72.27;221;26.5;;;;Zotu5;0.2715;0.4995;71.48;72.3;174;
Zotu16;0.3105;0.3967;77.11;194;7.5;;;;Zotu68;0.3656;0.4398;72.71;0.545;220;;;;Zotu588;0.2711;0.4987;71.98;239;124;
Zotu63;0.2961;0.3784;77.49;4.82;183;;;;Zotu12;0.3501;0.421;73.13;118;294;;;;Zotu25;0.2686;0.4941;72.48;79.9;210;
Zotu742;0.2935;0.3751;77.87;18.3;192;;;;Zotu11;0.3348;0.4027;73.54;324;148;;;;Zotu92;0.2507;0.4613;72.94;4.83;155;
Zotu57;0.2896;0.37;78.24;23.2;196;;;;Zotu10;0.3256;0.3917;73.93;2.55;198;;;;Zotu64;0.2366;0.4353;73.37;169;107;
Zotu71;0.2842;0.3632;78.6;172;4.5;;;;Zotu16;0.314;0.3777;74.31;194;5.42;;;;Zotu39;0.23;0.4231;73.8;163;142;
Zotu26;0.2729;0.3487;78.95;100;215;;;;Zotu71;0.2945;0.3542;74.66;172;27.3;;;;Zotu47;0.2284;0.4203;74.22;204;252;
Zotu2078;0.2715;0.3469;79.3;40.2;191;;;;Zotu25;0.2836;0.3411;75;48.2;210;;;;Zotu742;0.2281;0.4196;74.64;192;112;
Zotu101;0.2698;0.3448;79.64;165;25.1;;;;Zotu101;0.275;0.3308;75.33;165;49.8;;;;Zotu56;0.2253;0.4145;75.05;206;139;
Zotu74;0.2552;0.3261;79.97;154;6;;;;Zotu57;0.2611;0.314;75.65;23.2;179;;;;Zotu2078;0.2149;0.3953;75.45;191;123;
Zotu64;0.2474;0.3161;80.28;40.5;169;;;;Zotu74;0.2574;0.3097;75.96;154;22.7;;;;Zotu2118;0.2081;0.3828;75.83;216;161;
Zotu677;0.2338;0.2987;80.58;144;3.25;;;;Zotu1717;0.257;0.3091;76.27;15.8;170;;;;Zotu57;0.2046;0.3763;76.2;196;179;
Zotu39;0.2306;0.2947;80.88;29.7;163;;;;Zotu2118;0.2561;0.308;76.57;7.18;161;;;;Zotu155;0.1785;0.3284;76.53;2.67;110;
Zotu77;0.2306;0.2946;81.17;138;0.25;;;;Zotu63;0.2547;0.3063;76.88;4.82;157;;;;Zotu102;0.1764;0.3245;76.86;27.3;119;
Zotu245;0.2293;0.2929;81.46;1.27;139;;;;Zotu23;0.2495;0.3001;77.18;1.36;151;;;;Zotu50;0.168;0.3091;77.17;192;125;
