Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D16;Mean Cop_pro_D21;;;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D16;Mean Cop_pro_D24;;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D21;Mean Cop_pro_D24;;
Zotu8;6.127;10.16;10.16;4.4E03;765;Overall average dissimilarity cop_pro_d16 vs Cop_pro_d21: 60.3;;;;;Zotu1;12.84;16.72;16.72;1.2E03;8.84E03;Overall average dissimilarity cop_pro_d16 vs cop_pro_d24: 76.83;;;;Zotu1;9.023;15.54;15.54;4.52E03;8.84E03;;Overall average dissimilarity cop_pro_d21 vs cop_pro_d24: 58.05
Zotu1;5.563;9.226;19.39;1.2E03;4.52E03;;;;;;Zotu8;6.991;9.1;25.82;4.4E03;209;;;;;Zotu2;8.28;14.26;29.81;6.42E03;1.56E03;;
Zotu2;5.183;8.595;27.98;5.1E03;6.42E03;;;;;;Zotu2;6.294;8.193;34.01;5.1E03;1.56E03;;;;;Zotu14;2.676;4.609;34.42;294;1.83E03;;
Zotu12;3.085;5.117;33.1;2.17E03;338;;;;;;Zotu12;3.449;4.489;38.5;2.17E03;96;;;;;Zotu4;2.157;3.717;38.14;1.09E03;2.08E03;;
Zotu3;2.901;4.811;37.91;57.3;1.8E03;;;;;;Zotu4;3.232;4.207;42.7;136;2.08E03;;;;;Zotu3;2.141;3.688;41.82;1.8E03;839;;
Zotu4;1.592;2.64;40.55;136;1.09E03;;;;;;Zotu14;3.037;3.953;46.66;6;1.83E03;;;;;Zotu6;2.057;3.544;45.37;1.56E03;350;;
Zotu5;1.352;2.242;42.79;833;21.5;;;;;;Zotu18;1.747;2.274;48.93;536;1.11E03;;;;;Zotu18;1.809;3.116;48.48;28.4;1.11E03;;
Zotu35;1.287;2.135;44.93;774;1.42;;;;;;Zotu6;1.411;1.837;50.77;1.14E03;350;;;;;Zotu15;1.141;1.965;50.45;281;924;;
Zotu6;1.205;1.999;46.92;1.14E03;1.56E03;;;;;;Zotu5;1.315;1.711;52.48;833;43.9;;;;;Zotu8;0.946;1.63;52.08;765;209;;
Zotu18;0.8474;1.405;48.33;536;28.4;;;;;;Zotu3;1.303;1.697;54.18;57.3;839;;;;;Zotu7;0.938;1.616;53.69;931;421;;
Zotu21;0.8373;1.389;49.72;507;4.92;;;;;;Zotu35;1.289;1.678;55.85;774;0.333;;;;;Zotu83;0.6963;1.199;54.89;25.5;441;;
Zotu54;0.8139;1.35;51.07;489;1.08;;;;;;Zotu7;0.9969;1.298;57.15;960;421;;;;;Zotu31;0.6752;1.163;56.06;513;223;;
