;1;6;8;9;10;11;12;13;14;15;16;17;19;20;21;22;23;24;25;26;27;28;29;30;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96
#OTU ID;Cop_pro_D16_1_1;Cop_pro_D16_2_3;Cop_pro_D16_3_2;Cop_pro_D16_3_3;Cop_pro_D16_4_1;Cop_pro_D16_4_2;Cop_pro_D16_4_3;Cop_ctr_D16_1_1;Cop_ctr_D16_1_2;Cop_ctr_D16_1_3;Cop_ctr_D16_2_1;Cop_ctr_D16_2_2;Cop_ctr_D16_3_1;Cop_ctr_D16_3_2;Cop_ctr_D16_3_3;Cop_ctr_D16_4_1;Cop_ctr_D16_4_2;Cop_ctr_D16_4_3;Prob_D16_1;Prob_D16_2;Prob_D16_3;Alg_D16_1;Alg_D16_2;Alg_D16_3;Cop_pro_D21_1_1;Cop_pro_D21_1_2;Cop_pro_D21_1_3;Cop_pro_D21_2_1;Cop_pro_D21_2_2;Cop_pro_D21_2_3;Cop_pro_D21_3_1;Cop_pro_D21_3_2;Cop_pro_D21_3_3;Cop_pro_D21_4_1;Cop_pro_D21_4_2;Cop_pro_D21_4_3;Cop_ctr_D21_1_1;Cop_ctr_D21_1_2;Cop_ctr_D21_1_3;Cop_ctr_D21_2_1;Cop_ctr_D21_2_2;Cop_ctr_D21_2_3;Cop_ctr_D21_3_1;Cop_ctr_D21_3_2;Cop_ctr_D21_3_3;Cop_ctr_D21_4_1;Cop_ctr_D21_4_2;Cop_ctr_D21_4_3;Prob_D21_1;Prob_D21_2;Prob_D21_3;Alg_D21_1;Alg_D21_2;Alg_D21_3;Cop_pro_D24_1_1;Cop_pro_D24_1_2;Cop_pro_D24_1_3;Cop_pro_D24_2_1;Cop_pro_D24_2_2;Cop_pro_D24_2_3;Cop_pro_D24_3_1;Cop_pro_D24_3_2;Cop_pro_D24_3_3;Cop_pro_D24_4_1;Cop_pro_D24_4_2;Cop_pro_D24_4_3;Cop_ctr_D24_1_1;Cop_ctr_D24_1_2;Cop_ctr_D24_1_3;Cop_ctr_D24_2_1;Cop_ctr_D24_2_2;Cop_ctr_D24_2_3;Cop_ctr_D24_3_1;Cop_ctr_D24_3_2;Cop_ctr_D24_3_3;Cop_ctr_D24_4_1;Cop_ctr_D24_4_2;Cop_ctr_D24_4_3;Prob_D24_1;Prob_D24_2;Prob_D24_3;Alg_D24_1;Alg_D24_2;Alg_D24_3
Zotu1;1251;805;379;910;2077;1556;1411;667;1433;261;261;62;420;189;259;82;118;204;46;303;70;701;284;877;4879;1773;2858;10576;4205;7148;4179;1834;3150;5805;5326;2546;2399;4277;2063;10021;9331;10498;4623;4769;3217;1481;2329;1443;65;61;116;173;96;123;6119;4331;4353;14090;12907;14669;933;7320;8485;10489;9828;12591;9636;11952;6713;10552;4128;9407;5864;8125;5018;5584;2908;3669;83;63;43;65;4;3
Zotu10;0;0;13;1;1;3;2;1;1;0;12;1;1;6;0;0;0;6;2;0;5;4;1;3;0;6;4;2;7;4;2;1;2;11;5;1;4;3;2;1;3;5;1;4;2;1;1;1;1;5;5;2437;3302;3043;396;193;336;42;18;12;276;169;139;249;133;25;116;132;118;270;125;295;132;140;265;174;291;317;7;4;3;5704;4657;5243
Zotu100;49;77;131;118;197;245;355;180;259;243;44;251;54;25;19;11;19;27;2;2;1;49;34;34;6;2;3;0;1;1;1;2;1;2;0;0;0;4;1;1;5;0;2;0;1;0;2;1;1;1;2;103;46;57;6;4;0;0;0;1;1;1;0;1;0;0;7;2;2;2;0;4;0;3;5;3;0;2;0;1;0;16;11;78
Zotu1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;12;0;0;0
Zotu1001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;6;21
Zotu1002;4;1;3;1;0;0;0;0;0;0;1;10;0;3;0;0;0;2;0;3;1;8;15;7;1;25;4;6;5;11;33;50;13;20;13;29;21;25;23;6;1;1;11;2;2;2;5;5;0;0;0;19;24;16;0;0;1;1;2;2;2;2;3;0;0;0;2;0;2;0;1;0;3;0;1;1;1;1;0;0;0;15;21;9
Zotu1003;6;72;45;17;0;1;1;1;0;0;5;1;1;3;1;0;2;21;0;1;1;4;9;6;17;68;33;15;8;22;60;95;18;61;41;37;15;42;17;8;4;10;12;1;5;1;5;2;0;0;1;10;3;8;0;1;0;3;4;6;13;12;3;0;2;11;2;3;1;8;4;0;8;3;13;2;0;2;0;0;0;24;6;20
Zotu1004;0;0;0;0;0;0;0;4;0;0;0;0;0;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zotu1005;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;3;3;2;2;4;0;0;0;4;0;0;0;0;1;2;2;0;0;0;0;0;0;0
Zotu1006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Zotu1007;2;2;0;0;1;4;2;0;1;0;0;0;22;0;3;26;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;1;0;0;1;0;0;40;2;1;5;0;4;4;0;0;1;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;8;0;0;45;11;7;0;1;3;82;4;6;0;0;0;0;0;0;0;0;0
Zotu1008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;3;0;0;0
Zotu1009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;5;0;0;0
Zotu101;1;1;3;0;56;11;49;174;34;176;5;10;33;26;15;1;1332;10;0;2;2;2;2;1;31;4;5;5;54;17;5;3;25;6;5;10;2;5;24;9;17;71;2;49;49;3;58;12;5;0;0;1;0;1;16;3;1;1;1;0;0;3;3;2;9;2;42;68;57;27;55;60;54;105;62;21;36;10;1;0;0;1;1;2
Zotu1010;5;8;16;18;1;2;6;0;1;2;7;16;1;3;0;0;3;1;0;1;0;13;24;19;10;46;24;19;19;25;40;67;32;16;27;38;28;40;30;12;6;6;25;10;7;2;13;11;0;0;1;17;29;37;2;2;0;2;0;1;26;3;3;0;0;1;1;0;1;2;1;1;3;8;4;5;4;1;1;0;0;31;33;15
Zotu1011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
Zotu1012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;4;0;0;0
Zotu1013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0
Zotu1014;1;4;0;1;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;34;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Zotu1015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;5;5;0;0;0
Zotu1016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zotu1017;0;0;0;0;0;0;11;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zotu1018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;9;0;0;0
Zotu1019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;14
Zotu102;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0;0;1;1;2;0;1;1;0;0;1;1;1;0;0;10;2;6;37;26;9;20;46;29;65;78;2;1;2;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;212;138;165;42;21;66;214;277;271;2;2;15;0;0;3;0;0;0
Zotu1020;3;14;9;6;5;1;1;0;0;3;0;0;1;2;0;0;0;4;0;1;1;2;4;10;8;11;12;6;6;5;0;6;10;10;8;6;3;11;10;28;10;15;6;8;10;0;5;1;0;1;0;1;3;1;6;1;0;11;45;18;13;29;26;1;9;33;50;22;11;62;164;4;7;20;22;50;30;14;1;0;0;0;0;0
Zotu1021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;2;0;0;0
Zotu1022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;13;0;0;0
Zotu1023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;7;0;0;0
Zotu1024;0;1;1;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Zotu1025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;0;0;0
Zotu1026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;48;19;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;45;64;9;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;47;44;18;1;0;0
Zotu1027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;3;0;0;0;7;13;10;9;0;1;0;0;0;0;0;0
Zotu1028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
Zotu1029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;17;23;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;17;39;0;0;0
Zotu103;0;2;2;3;0;0;0;2;0;1;2;1;16;0;0;1;2;2;217;444;385;5;3;4;3;1;1;1;0;0;0;1;0;1;1;0;0;0;0;2;3;0;5;1;2;0;3;2;392;274;51;1;1;1;4;3;4;5;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;4;2;0;2;278;346;111;1;0;0
Zotu1030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;6;0;0;0
Zotu1031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;9;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;0;0;0
