;Cop_pro_D16_1_1;Cop_pro_D16_2_3;Cop_pro_D16_3_2;Cop_pro_D16_3_3;Cop_pro_D16_4_1;Cop_pro_D16_4_2;Cop_pro_D16_4_3;Cop_ctr_D16_1_1;Cop_ctr_D16_1_2;Cop_ctr_D16_1_3;Cop_ctr_D16_2_1;Cop_ctr_D16_2_2;Cop_ctr_D16_3_1;Cop_ctr_D16_3_2;Cop_ctr_D16_3_3;Cop_ctr_D16_4_1;Cop_ctr_D16_4_2;Cop_ctr_D16_4_3;Cop_pro_D21_1_1;Cop_pro_D21_1_2;Cop_pro_D21_1_3;Cop_pro_D21_2_1;Cop_pro_D21_2_2;Cop_pro_D21_2_3;Cop_pro_D21_3_1;Cop_pro_D21_3_2;Cop_pro_D21_3_3;Cop_pro_D21_4_1;Cop_pro_D21_4_2;Cop_pro_D21_4_3;Cop_ctr_D21_1_1;Cop_ctr_D21_1_2;Cop_ctr_D21_1_3;Cop_ctr_D21_2_1;Cop_ctr_D21_2_2;Cop_ctr_D21_2_3;Cop_ctr_D21_3_1;Cop_ctr_D21_3_2;Cop_ctr_D21_3_3;Cop_ctr_D21_4_1;Cop_ctr_D21_4_2;Cop_ctr_D21_4_3;Cop_pro_D24_1_1;Cop_pro_D24_1_2;Cop_pro_D24_1_3;Cop_pro_D24_2_1;Cop_pro_D24_2_2;Cop_pro_D24_2_3;Cop_pro_D24_3_1;Cop_pro_D24_3_2;Cop_pro_D24_3_3;Cop_pro_D24_4_1;Cop_pro_D24_4_2;Cop_pro_D24_4_3;Cop_ctr_D24_1_1;Cop_ctr_D24_1_2;Cop_ctr_D24_1_3;Cop_ctr_D24_2_1;Cop_ctr_D24_2_2;Cop_ctr_D24_2_3;Cop_ctr_D24_3_1;Cop_ctr_D24_3_2;Cop_ctr_D24_3_3;Cop_ctr_D24_4_1;Cop_ctr_D24_4_2;Cop_ctr_D24_4_3
Taxa_S;399;515;530;486;392;376;366;367;302;342;462;436;404;433;347;217;425;479;624;662;628;375;546;502;462;506;543;506;558;526;386;501;505;505;515;536;517;535;516;331;552;472;529;483;383;567;546;479;554;564;529;439;467;397;501;479;542;548;519;494;535;589;767;627;538;436
Individuals;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000
Dominance_D;0.1515;0.06503;0.06716;0.08979;0.06292;0.0531;0.0586;0.1498;0.07923;0.1349;0.1509;0.08504;0.1296;0.2713;0.2344;0.1707;0.1288;0.1298;0.0902;0.08937;0.07919;0.1468;0.06223;0.08407;0.09319;0.094;0.08323;0.09517;0.1001;0.1136;0.2003;0.1034;0.1706;0.1372;0.1294;0.1415;0.0986;0.09474;0.06654;0.1427;0.1033;0.0997;0.06806;0.07884;0.05541;0.2384;0.2003;0.2577;0.07208;0.07704;0.09873;0.1466;0.1286;0.1941;0.125;0.1748;0.07728;0.137;0.1198;0.1128;0.06258;0.09485;0.05256;0.06083;0.07516;0.09088
Simpson_1-D;0.8485;0.935;0.9328;0.9102;0.9371;0.9469;0.9414;0.8502;0.9208;0.8651;0.8491;0.915;0.8704;0.7287;0.7656;0.8293;0.8712;0.8702;0.9098;0.9106;0.9208;0.8532;0.9378;0.9159;0.9068;0.906;0.9168;0.9048;0.8999;0.8864;0.7997;0.8966;0.8294;0.8628;0.8706;0.8585;0.9014;0.9053;0.9335;0.8573;0.8967;0.9003;0.9319;0.9212;0.9446;0.7616;0.7997;0.7423;0.9279;0.923;0.9013;0.8534;0.8714;0.8059;0.875;0.8252;0.9227;0.863;0.8802;0.8872;0.9374;0.9052;0.9474;0.9392;0.9248;0.9091
Shannon_H;3.341;3.914;3.825;3.606;3.625;3.69;3.589;2.882;3.301;2.908;2.919;3.438;3.281;2.269;2.436;2.333;3.184;3.073;3.51;3.953;3.821;3.123;3.715;3.617;3.458;3.615;3.616;3.47;3.488;3.538;2.804;3.497;3.14;3.286;3.209;3.385;3.328;3.432;3.712;2.811;3.432;3.238;3.709;3.499;3.652;2.842;3.16;2.787;3.864;3.821;3.604;3.148;3.345;2.978;3.415;3.177;3.718;3.602;3.413;3.619;4.004;3.803;4.294;4.009;3.685;3.35
Evenness_e^H/S;0.07079;0.0973;0.08644;0.07579;0.09575;0.1065;0.09891;0.04863;0.08989;0.05358;0.04008;0.07138;0.06585;0.02234;0.03293;0.04752;0.05683;0.0451;0.0536;0.07867;0.0727;0.06057;0.07522;0.07415;0.06876;0.07346;0.0685;0.06353;0.05863;0.06538;0.04279;0.0659;0.04577;0.05293;0.04809;0.05506;0.05392;0.05782;0.0793;0.05024;0.05603;0.054;0.07716;0.06848;0.1007;0.03024;0.04316;0.0339;0.08602;0.08091;0.06946;0.05306;0.06076;0.04948;0.06069;0.05004;0.07595;0.06694;0.05852;0.07552;0.1025;0.07613;0.09549;0.08783;0.07408;0.06538
Brillouin;3.309;3.874;3.784;3.569;3.594;3.66;3.56;2.854;3.278;2.883;2.885;3.405;3.249;2.238;2.409;2.318;3.152;3.037;3.465;3.902;3.774;3.094;3.674;3.579;3.423;3.577;3.576;3.432;3.447;3.497;2.775;3.458;3.102;3.248;3.171;3.344;3.29;3.392;3.672;2.786;3.391;3.204;3.67;3.464;3.623;2.801;3.119;2.751;3.82;3.778;3.564;3.114;3.31;2.946;3.376;3.14;3.676;3.559;3.374;3.58;3.961;3.757;4.236;3.961;3.644;3.317
Menhinick;2.304;2.973;3.06;2.806;2.263;2.171;2.113;2.119;1.744;1.975;2.667;2.517;2.332;2.5;2.003;1.253;2.454;2.766;3.603;3.822;3.626;2.165;3.152;2.898;2.667;2.921;3.135;2.921;3.222;3.037;2.229;2.893;2.916;2.916;2.973;3.095;2.985;3.089;2.979;1.911;3.187;2.725;3.054;2.789;2.211;3.274;3.152;2.766;3.199;3.256;3.054;2.535;2.696;2.292;2.893;2.766;3.129;3.164;2.996;2.852;3.089;3.401;4.428;3.62;3.106;2.517
Margalef;38.61;49.86;51.31;47.05;37.93;36.38;35.41;35.5;29.2;33.08;44.72;42.2;39.09;41.91;33.56;20.95;41.13;46.37;60.43;64.12;60.82;36.28;52.87;48.6;44.72;48.99;52.58;48.99;54.03;50.93;37.35;48.5;48.89;48.89;49.86;51.9;50.05;51.8;49.96;32.01;53.45;45.69;51.22;46.76;37.06;54.9;52.87;46.37;53.64;54.61;51.22;42.49;45.2;38.41;48.5;46.37;52.48;53.06;50.25;47.82;51.8;57.04;74.3;60.72;52.09;42.2
Equitability_J;0.5567;0.6255;0.6083;0.5817;0.606;0.6213;0.607;0.487;0.5772;0.4975;0.4745;0.5645;0.5456;0.3726;0.4154;0.4331;0.525;0.4966;0.5437;0.6069;0.5915;0.5259;0.588;0.5803;0.5624;0.5793;0.5728;0.556;0.55;0.5633;0.4698;0.5612;0.5032;0.5265;0.5126;0.5372;0.5312;0.5448;0.5929;0.4835;0.5421;0.5247;0.5901;0.5649;0.6129;0.4467;0.4999;0.4504;0.6102;0.6016;0.5733;0.5162;0.543;0.4965;0.5479;0.5134;0.5891;0.5698;0.5446;0.5822;0.6359;0.5947;0.6445;0.6207;0.5847;0.55
Fisher_alpha;65.02;88.32;91.44;82.37;63.66;60.58;58.66;58.85;46.7;54.12;77.5;72.3;66;71.7;55.06;31.66;70.12;80.94;111.4;119.8;112.3;60.38;94.78;85.64;77.5;86.46;94.15;86.46;97.31;90.6;62.5;85.44;86.26;86.26;88.32;92.69;88.74;92.48;88.53;52.06;96.04;79.52;91.23;81.75;61.92;99.21;94.78;80.94;96.47;98.58;91.23;72.89;78.51;64.63;85.44;80.94;93.94;95.2;89.15;84;92.48;103.9;143.4;112.1;93.11;72.3
Berger-Parker;0.3718;0.1659;0.1626;0.2353;0.1623;0.1339;0.1415;0.31;0.195;0.299;0.3058;0.2227;0.3137;0.4336;0.4055;0.3005;0.3052;0.2529;0.2201;0.2755;0.2414;0.3525;0.1433;0.2383;0.2435;0.2733;0.2341;0.2142;0.2407;0.3061;0.4228;0.2675;0.3894;0.334;0.311;0.3499;0.2381;0.224;0.1848;0.3191;0.2811;0.2584;0.204;0.2038;0.1451;0.4697;0.4302;0.489;0.1906;0.244;0.2828;0.3496;0.3276;0.4197;0.3212;0.3984;0.2238;0.3517;0.297;0.3136;0.1955;0.2708;0.1673;0.1861;0.1926;0.2245
Chao-1;509.2;687.7;774.8;752.5;560.4;511;516.9;562;485.3;486.6;649.9;603.8;527.3;594.5;513.8;330.4;580.3;636.8;900.3;910.7;796;478.2;740.4;633.7;597;641.7;758.8;688.7;757.1;748.1;539.1;634.2;694.4;694;751.2;731.1;704.7;748.2;689.1;459.1;767.7;706.9;759.1;750;568.3;796.2;749.3;622.6;656.5;744.4;757.1;554;605.2;537;747.2;612;701;658.9;668.3;679.6;712.5;760.6;1029;746.6;683;610.5
iChao-1;538;732.9;831.7;808.8;588.4;549.7;551.3;589.1;512.6;521.9;694.2;647.8;557.5;633.3;548.2;361.2;611.6;666.9;962.7;955.3;836.9;500.4;783.6;669.5;631;672.3;817.3;733.3;795;789.7;579.9;671.5;743.4;729;795.9;773.5;744.2;791.3;732.8;492.5;825.1;766.3;816.4;815.8;612.6;849.5;803.9;662.1;684.3;784.5;808.9;576.1;641.9;571.6;797.5;647.8;740.3;689;709.6;715.3;748.7;805.2;1093;778.6;721.6;646.6
ACE;497.4;700.2;735.7;716.1;539.2;501.8;501.8;540.4;428.4;474;669.3;603.6;524.3;591.9;470.9;334.9;589.9;630.9;921.4;886.3;835.4;498.9;687.9;643.6;602;659.8;761.6;664.3;762.9;677.3;527.2;617.5;673.4;645.6;735.9;670.7;732.4;723;669.4;441.8;810.1;686.2;763.4;724.9;602.7;783.4;745.6;618.5;651.7;729.7;686.6;547.5;587.1;508;666.1;613.2;703.9;655.9;657.6;618.8;691.5;730.8;1010;778.8;693.5;615.2
Squares;1885;2099;2449;2991;1269;984.4;1063;2899;1095;2034;4230;2103;1888;5905;3031;1393;2843;3284;5233;4239;3518;2088;2081;2198;2161;2511;3181;2677;3767;3117;3417;2196;4604;3430;4388;3594;3607;3178;1955;1845;4363;3254;2735;3067;1439;9358;6201;5176;1627;2663;2933;2413;2509;2537;3352;3525;2448;2724;2969;2519;1833;2753;3477;2166;2185;2321
