similarity,group
0.66936667,Within_pro
0.72923333,Within_pro
0.41743333,Within_pro
0.41056667,Within_pro
0.41203333,Within_pro
0.41263333,Within_pro
0.60116667,Within_pro
0.6125,Within_pro
0.66803333,Within_pro
0.67566667,Within_pro
0.43796667,Within_pro
0.6867,Within_pro
0.3471,Within_pro
0.34983333,Within_pro
0.34643333,Within_pro
0.26723333,Within_pro
0.53083333,Within_pro
0.5326,Within_pro
0.48083333,Within_pro
0.51586667,Within_pro
0.3586,Within_pro
0.3357,Within_pro
0.32456667,Within_pro
0.32723333,Within_pro
0.36016667,Within_pro
0.5189,Within_pro
0.53116667,Within_pro
0.55123333,Within_pro
0.56263333,Within_pro
0.34923333,Within_pro
0.88643333,Within_pro
0.83153333,Within_pro
0.2115,Within_pro
0.62836667,Within_pro
0.63336667,Within_pro
0.64126667,Within_pro
0.6496,Within_pro
0.78533333,Within_pro
0.80656667,Within_pro
0.20146667,Within_pro
0.6233,Within_pro
0.6334,Within_pro
0.6334,Within_pro
0.63813333,Within_pro
0.8042,Within_pro
0.19453333,Within_pro
0.5936,Within_pro
0.62726667,Within_pro
0.63276667,Within_pro
0.6322,Within_pro
0.75153333,Within_pro
0.37226667,Within_pro
0.3804,Within_pro
0.39943333,Within_pro
0.38146667,Within_pro
0.24253333,Within_pro
0.88096667,Within_pro
0.6537,Within_pro
0.71216667,Within_pro
0.62116667,Within_pro
0.70156667,Within_pro
0.7537,Within_pro
0.6221,Within_pro
0.89696667,Within_pro
0.6697,Within_pro
0.67663333,Within_pro
0.75963333,Within_ctr
0.6562,Within_ctr
0.723,Within_ctr
0.38396667,Within_ctr
0.65193333,Within_ctr
0.62116667,Within_ctr
0.66683333,Within_ctr
0.54443333,Within_ctr
0.59573333,Within_ctr
0.47953333,Within_ctr
0.4808,Within_ctr
0.6857,Within_ctr
0.7554,Within_ctr
0.42196667,Within_ctr
0.71526667,Within_ctr
0.57946667,Within_ctr
0.69523333,Within_ctr
0.5646,Within_ctr
0.57113333,Within_ctr
0.45933333,Within_ctr
0.48696667,Within_ctr
0.62663333,Within_ctr
0.48746667,Within_ctr
0.63063333,Within_ctr
0.59523333,Within_ctr
0.66583333,Within_ctr
0.59053333,Within_ctr
0.54803333,Within_ctr
0.41603333,Within_ctr
0.43443333,Within_ctr
0.46456667,Within_ctr
0.76106667,Within_ctr
0.52046667,Within_ctr
0.65813333,Within_ctr
0.52916667,Within_ctr
0.56393333,Within_ctr
0.4271,Within_ctr
0.43863333,Within_ctr
0.4863,Within_ctr
0.46386667,Within_ctr
0.47883333,Within_ctr
0.4814,Within_ctr
0.48243333,Within_ctr
0.34663333,Within_ctr
0.358,Within_ctr
0.5443,Within_ctr
0.65773333,Within_ctr
0.57846667,Within_ctr
0.53826667,Within_ctr
0.42726667,Within_ctr
0.4514,Within_ctr
0.7397,Within_ctr
0.73456667,Within_ctr
0.6488,Within_ctr
0.45986667,Within_ctr
0.49506667,Within_ctr
0.78356667,Within_ctr
0.6011,Within_ctr
0.45083333,Within_ctr
0.47416667,Within_ctr
0.58813333,Within_ctr
0.46526667,Within_ctr
0.4814,Within_ctr
0.6648,Within_ctr
0.5845,Within_ctr
0.81513333,Within_ctr
0.49543333,Between
0.55036667,Between
0.54413333,Between
0.5525,Between
0.41776667,Between
0.59773333,Between
0.47983333,Between
0.5353,Between
0.5091,Between
0.52163333,Between
0.42933333,Between
0.45193333,Between
0.36303333,Between
0.39566667,Between
0.3939,Between
0.4237,Between
0.37716667,Between
0.43493333,Between
0.33726667,Between
0.37356667,Between
0.3846,Between
0.401,Between
0.35926667,Between
0.38106667,Between
0.4076,Between
0.4648,Between
0.44603333,Between
0.45336667,Between
0.37606667,Between
0.50416667,Between
0.38516667,Between
0.43053333,Between
0.44386667,Between
0.4405,Between
0.40986667,Between
0.44936667,Between
0.5512,Between
0.63806667,Between
0.44296667,Between
0.6238,Between
0.30446667,Between
0.5146,Between
0.4026,Between
0.50963333,Between
0.38856667,Between
0.44996667,Between
0.275,Between
0.28513333,Between
0.54146667,Between
0.62916667,Between
0.43176667,Between
0.6282,Between
0.30683333,Between
0.5098,Between
0.38756667,Between
0.49906667,Between
0.3774,Between
0.4442,Between
0.26573333,Between
0.27113333,Between
0.55706667,Between
0.65036667,Between
0.4496,Between
0.64253333,Between
0.35423333,Between
0.5293,Between
0.44613333,Between
0.54293333,Between
0.40123333,Between
0.47686667,Between
0.26866667,Between
