;Coord 1;Coord 2;Coord 3;Coord 4;Coord 5;Coord 6;Coord 7;Coord 8;Coord 9;Coord 10;Coord 11;Coord 12;Coord 13;Coord 14;Coord 15;Coord 16;Coord 17;Coord 18;Coord 19;Coord 20;Coord 21;Coord 22;Coord 23;Coord 24;Coord 25;Coord 26;Coord 27;Coord 28;Coord 29;Coord 30;Coord 31;Coord 32;Coord 33;Coord 34;Coord 35;Coord 36;Coord 37;Coord 38;Coord 39;Coord 40;Coord 41;Coord 42;Coord 43
Cop_pro_D16_1_1;0.096568;-0.13006;-0.08145;-0.063452;0.16146;-0.074785;-0.19431;0.20272;0.42881;0.13502;0.18016;-0.037388;0.064671;-0.11612;0.0014353;0.062935;0.10779;-0.015582;0.1687;0.10487;-0.077144;-0.057393;-0.086676;-0.12454;0.14787;0.025077;-0.1002;0.021956;0.13061;-0.0045927;-0.14111;0.079431;-0.076224;0.055605;0.082493;-0.015865;0.089355;0.010698;-0.015212;0.040012;0.044309;0.05538;0.12309
Cop_pro_D16_2_3;0.10025;-0.088435;-0.2384;-0.21445;0.015336;0.029058;0.19079;0.10763;-0.13057;0.25758;0.030144;-0.018631;0.086854;-0.026033;-0.022794;0.1513;0.073025;0.10216;-0.14557;-0.098157;-0.044249;0.0318;-0.0068118;0.063747;0.00075607;0.076467;-0.038593;0.063478;-0.10185;0.10737;0.10903;0.025396;-0.28475;0.16424;-0.034622;0.011252;-0.093945;0.3077;0.062928;-0.13579;0.15337;0.08738;0.12309
Cop_pro_D16_3_2;0.1368;-0.098818;-0.20754;-0.19949;-0.0039276;0.05936;0.15235;-0.077026;-0.21197;0.21431;-0.027469;0.093317;-0.15415;-0.13383;0.0025849;-0.092369;-0.12547;-0.0018913;0.06028;0.075307;-0.015491;-0.09164;0.087771;-0.062538;-0.015312;-0.081931;0.20438;-0.13042;0.29077;0.091546;-0.17063;-0.32364;-0.17491;0.034104;0.045246;0.10291;0.063178;0.024915;-0.093346;0.05502;0.026851;-0.036547;0.12309
Cop_pro_D16_3_3;0.11367;-0.052814;-0.26988;-0.20476;-0.029917;0.057772;0.2158;0.029135;-0.16065;0.19079;0.062294;0.002448;-0.078146;-0.037705;-0.11151;-0.16709;-0.14711;0.05091;0.16894;-0.13684;0.12579;-0.065336;-0.10853;0.10724;0.049673;-0.0022306;-0.23391;0.22623;-0.12851;0.022196;-0.076433;0.26657;0.31525;-0.080285;-0.019681;-0.244;0.0023761;-0.27321;0.031669;0.057121;-0.10654;0.018935;0.12309
Cop_pro_D16_4_1;0.093818;-0.027008;-0.35661;-0.11608;-0.029953;-0.052394;0.018243;-0.0024277;0.15759;-0.05997;-0.0025461;-0.088768;0.068154;0.11548;-0.047114;0.060767;-0.0062844;-0.079108;-0.031323;0.10102;0.047728;-0.062664;0.18295;0.065426;0.043492;0.18153;0.10636;-0.16541;-0.075234;0.2554;-0.049288;-0.22992;0.12279;-0.033591;-0.057621;-0.19983;0.17092;-0.082979;-0.027604;-0.026911;-0.027261;-0.25679;0.12309
Cop_pro_D16_4_2;0.12307;-0.018971;-0.34788;-0.12248;-0.048243;-0.01229;-0.00036542;-0.056748;0.19372;-0.16325;0.0094729;0.050931;0.044648;-0.057085;-0.02233;0.065618;0.086612;0.013607;-0.010323;0.052817;0.074391;0.14159;-0.024926;0.018036;0.027042;-0.22475;0.064579;0.010711;0.034706;-0.22848;0.046025;0.04132;0.014773;0.016736;-0.023977;0.23499;-0.23709;-0.18765;-0.32885;-0.13414;-0.046154;0.17611;0.12309
Cop_pro_D16_4_3;0.12553;-0.040093;-0.32393;-0.12104;-0.064167;0.00045567;-0.012367;-0.13322;0.16478;-0.19018;-0.055112;0.055416;-0.01768;-0.047711;0.070774;0.028279;-0.022943;-0.048101;-0.10309;-0.0012334;-0.054853;0.064991;0.012854;-0.074343;-0.16031;-0.05245;-0.063034;-0.064156;0.020698;-0.15007;0.11737;0.17405;-0.038322;-0.16594;-0.01564;0.077858;0.06189;0.242;0.30137;0.16067;-0.00078967;-0.010456;0.12309
Cop_ctr_D16_1_1;0.21971;0.092856;0.065924;0.012881;-0.10475;-0.092729;-0.0088192;0.029112;0.027149;-0.054856;0.016664;-0.032357;0.096916;0.25566;-0.13229;0.091725;0.16906;-0.093388;-0.14849;0.14914;0.070097;0.14032;-0.1847;0.29282;0.074242;0.20144;-0.11301;-0.0018538;-0.048414;0.12451;-0.074325;-0.019483;0.072217;-0.041782;0.072634;0.064912;0.19611;-0.059025;-0.015263;0.086086;0.16411;0.059387;0.12309
Cop_ctr_D16_1_2;0.19822;0.12583;0.032342;0.04686;-0.086475;-0.026969;-0.10371;0.018276;0.12288;-0.35098;-0.034305;0.23145;0.016617;-0.13241;0.17027;-0.097577;0.029254;0.4453;-0.13247;-0.24797;0.23892;-0.27472;0.015534;0.12836;0.094754;0.15648;-0.018855;0.14488;0.036049;0.11859;-0.018483;-0.07553;-0.078851;0.051269;-0.086628;0.016153;-0.092368;-0.051191;-0.017154;-0.027442;-0.011513;-0.07707;0.12309
Cop_ctr_D16_1_3;0.23402;0.10611;0.054225;0.027559;-0.15133;-0.063724;-0.043401;-0.10972;-0.015056;-0.19656;-0.030577;0.022804;-0.11692;0.092926;-0.10253;-0.23208;0.060714;0.030918;-0.0013941;-0.043291;0.00018707;0.23965;-0.16086;-0.12483;0.098688;-0.012106;0.026281;-0.063453;0.0075368;-0.015221;0.044446;0.044501;-0.090882;0.1158;0.016217;-0.099883;0.033282;0.16332;-0.10643;-0.0033859;-0.057959;0.067644;0.12309
