Axis;Eigenvalue;Percent
1;4.6291;32.323
2;2.8467;19.877
3;1.0258;7.1629
4;0.99188;6.9259
5;0.66367;4.6341
6;0.61928;4.3242
7;0.44473;3.1054
8;0.34579;2.4145
9;0.29533;2.0622
10;0.23435;1.6364
11;0.21906;1.5296
12;0.17791;1.2423
13;0.15628;1.0912
14;0.13796;0.96333
15;0.11689;0.81619
16;0.098452;0.68745
17;0.093961;0.65609
18;0.073719;0.51475
19;0.064422;0.44984
20;0.059756;0.41725
21;0.05795;0.40464
22;0.049538;0.3459
23;0.044157;0.30833
24;0.042814;0.29895
25;0.040072;0.2798
26;0.035271;0.24629
27;0.033231;0.23204
28;0.029796;0.20806
29;0.026143;0.18254
30;0.021996;0.15359
31;0.018899;0.13196
32;0.017421;0.12165
33;0.015391;0.10747
34;0.014072;0.098257
35;0.011574;0.080819
36;0.0088632;0.061889
37;0.0070248;0.049051
38;0.0059453;0.041514
39;0.0051848;0.036203
40;0.0037911;0.026472
41;0.0026585;0.018563
42;0.00065898;0.0046014
43;2.0799E-15;1.4523E-14
44;-4.6654E-05;-0.00032577
45;-0.00085806;-0.0059915
46;-0.001207;-0.0084279
47;-0.0021473;-0.014994
48;-0.0038643;-0.026983
49;-0.0042761;-0.029858
50;-0.0055807;-0.038968
51;-0.0078443;-0.054774
52;-0.0096635;-0.067476
53;-0.011413;-0.079691
54;-0.01281;-0.089448
55;-0.013954;-0.097434
56;-0.01584;-0.11061
57;-0.017099;-0.11939
58;-0.019097;-0.13335
59;-0.01988;-0.13882
60;-0.023862;-0.16662
61;-0.035212;-0.24587
62;-0.036099;-0.25207
63;-0.043099;-0.30094
64;-0.062992;-0.43985
65;-0.077431;-0.54067
66;-0.10955;-0.76491
