;Coord 1;Coord 2;Coord 3;Coord 4;Coord 5;Coord 6;Coord 7;Coord 8;Coord 9;Coord 10;Coord 11;Coord 12;Coord 13;Coord 14;Coord 15;Coord 16;Coord 17;Coord 18;Coord 19;Coord 20;Coord 21;Coord 22;Coord 23;Coord 24;Coord 25;Coord 26;Coord 27;Coord 28;Coord 29;Coord 30;Coord 31;Coord 32;Coord 33;Coord 34;Coord 35;Coord 36;Coord 37;Coord 38;Coord 39;Coord 40;Coord 41;Coord 42;Coord 43;Coord 44;Coord 45;Coord 46;Coord 47;Coord 48;Coord 49;Coord 50;Coord 51;Coord 52;Coord 53;Coord 54;Coord 55;Coord 56;Coord 57
Cop_pro_D16_1_1;-0.0094793;-0.1105;-0.02713;0.12414;-0.049842;-0.070353;0.2267;0.071877;0.19906;0.16579;0.27211;-0.15432;0.12963;0.0091203;0.27719;-0.0009582;0.049806;-0.069954;0.070724;0.093073;0.16265;0.012279;0.10725;0.22024;-0.019282;0.11638;-0.041914;0.052154;-0.09578;0.12078;0.11224;-0.036173;0.15296;0.13745;0.035695;0.038899;-0.09538;0.081928;-0.0080618;-0.016014;0.064194;0.097026;-0.041447;0.01486;-0.050946;-0.045352;0.011823;-0.036856;0.099746;-0.021516;-0.022754;-0.033736;0.0030119;-0.029847;0.049874;0.036084;0.10911
Cop_pro_D16_2_3;-0.0043032;-0.098917;0.011789;0.090843;-0.24819;-0.19996;0.049709;0.051802;-0.18212;0.09338;-0.10467;-0.009107;-0.038062;-0.25919;0.093015;-0.014996;0.077932;-0.034463;-0.028943;-0.051344;0.15157;0.14873;-0.086574;-0.080303;-0.083538;-0.0034216;-0.0016493;-0.017427;0.059599;-0.011948;0.022667;0.0032878;0.098063;0.078474;0.035472;0.064044;0.14533;-0.17475;0.29715;-0.047082;-0.072403;0.034605;0.0039923;-0.050945;0.049976;0.087822;0.089219;-0.094862;0.082676;0.11839;-0.19091;0.15277;-0.054367;-0.12457;0.10786;0.042397;0.10911
Cop_pro_D16_3_2;0.01518;-0.13075;0.012775;0.082881;-0.21967;-0.1854;0.0025904;0.049279;-0.15064;-0.0056147;-0.10095;0.085386;-0.17463;-0.24576;-0.031455;-0.05273;-0.17188;-0.11693;0.046059;0.028462;-0.16382;-0.03564;-0.029183;0.16511;-0.013965;0.078893;0.0035898;0.022391;-0.084034;-0.04472;0.063581;-0.12775;-0.31069;0.17314;-0.032416;0.075651;0.086491;-0.11517;-0.22078;-0.015209;0.10039;0.06129;0.0034996;0.10184;-0.063642;0.014732;0.022628;-0.086414;0.10478;-0.032776;-0.020636;-0.10415;0.0024504;-0.041443;-0.020376;-0.033872;0.10911
Cop_pro_D16_3_3;0.0072491;-0.096134;0.044303;0.071389;-0.28171;-0.18326;0.0030912;0.048695;-0.20676;0.076138;-0.078304;0.046426;-0.10054;-0.18997;0.076842;0.0032535;-0.08433;-0.049299;0.11927;-0.062638;-0.25193;0.0012022;0.17982;-0.16828;-0.032417;0.02392;-0.10827;-0.047778;0.04918;0.12571;-0.14242;0.0661;0.3047;-0.12199;-0.073606;-0.10888;-0.057704;0.23004;-0.12419;0.079262;-0.14616;0.046443;-0.051721;-0.14179;-0.019874;-0.074983;-0.064933;0.16033;-0.1695;-0.062705;0.15794;-0.0079572;0.018885;0.08047;-0.009887;-0.027721;0.10911
Cop_pro_D16_4_1;-0.0044155;-0.076551;0.058146;0.056491;-0.34197;-0.081284;0.10139;-0.015615;0.0055043;0.066095;0.16204;-0.015204;0.0028169;0.059607;-0.026062;0.085763;0.088696;0.11779;-0.023418;-0.085683;0.035714;-0.073128;-0.08238;0.079383;0.071388;0.10478;0.070644;-0.0095556;0.053058;0.010383;-0.0023524;0.19745;-0.1625;-0.063853;0.091253;0.046214;0.31082;-0.07051;-0.24312;0.078726;-0.12028;-0.031784;-0.15157;-0.088504;-0.057755;-0.096664;0.084913;-0.015988;-0.014357;-0.024679;0.1292;-0.031401;-0.038419;0.047458;-0.18609;-0.10817;0.10911
Cop_pro_D16_4_2;0.010356;-0.094804;0.077409;0.057681;-0.33775;-0.088293;0.0641;0.0073017;0.024487;0.048311;0.21841;0.011222;-0.029585;0.15732;-0.086942;-0.047092;0.033882;-0.031401;0.00025988;-0.0064236;0.10012;0.0062422;0.023317;-0.033056;0.098826;-0.066766;0.13061;0.0040984;0.012698;0.048513;-0.04543;-0.1719;-0.075442;0.049881;-0.0069866;-0.019545;-0.22318;-0.001025;0.13434;0.051804;0.15476;-0.094833;0.050999;0.1509;0.026237;0.31287;-0.011361;0.082458;-0.2431;0.079371;0.045571;-0.16877;0.065456;0.16151;0.14279;0.20656;0.10911
Cop_pro_D16_4_3;0.0089432;-0.10741;0.058265;0.05115;-0.31942;-0.087683;0.030566;-0.0041451;0.03893;-0.012575;0.217;0.028764;-0.04478;0.15238;-0.16193;-0.023343;-0.012843;-0.042643;-0.078236;0.0087627;0.0025343;-0.036896;-0.097757;-0.011707;0.00094992;-0.085778;0.026973;0.0024475;-0.012969;-0.1509;0.082778;-0.080915;-0.014098;-0.1492;-0.064638;-0.060669;-0.15174;0.11841;0.084886;-0.17635;-0.033067;-0.012152;0.16161;0.037647;0.096534;-0.21374;-0.058073;-0.074035;0.18681;-0.027203;-0.12046;0.16977;0.0092802;-0.14186;-0.063236;-0.098586;0.10911
Cop_ctr_D16_1_1;0.060773;-0.13086;0.21123;0.039218;0.050947;0.0093995;-0.030364;-0.11721;0.013972;-0.0056346;-0.012398;-0.020537;0.070356;0.063443;0.043873;-0.010338;0.098653;0.2507;0.012375;-0.10504;0.21481;-0.074808;-0.080581;-0.075534;0.23434;-0.085532;-0.055679;-0.13637;0.25822;0.15627;0.051707;0.055869;0.18369;0.024198;0.047917;0.058356;0.11523;0.037464;-0.093533;0.044314;0.050341;0.012915;-0.073304;0.067533;-0.07984;-0.071273;0.017952;-0.10802;0.13771;-0.043055;0.068118;-0.15392;-0.045123;-0.099461;-0.040761;0.17134;0.10911
Cop_ctr_D16_1_2;0.060625;-0.099294;0.22304;0.026138;0.032396;0.046591;-0.030639;-0.038646;0.10757;0.034484;0.084486;0.0025585;0.061137;0.3227;-0.17497;-0.23232;-0.028382;-0.098106;-0.057548;0.25729;-0.1057;0.40146;-0.10634;-0.26364;-0.043464;0.20761;-0.19573;-0.017976;0.0093251;0.13908;-0.034095;0.14005;-0.039256;0.081954;-0.1609;-0.038837;0.1539;-0.094879;-0.034469;-0.020064;-0.01917;0.01808;0.022133;-0.061692;-0.032425;0.09102;-0.010262;0.00028758;-0.12536;-0.024275;-0.033012;0.027123;-0.043159;0.0091707;0.027897;-0.13859;0.10911
Cop_ctr_D16_1_3;0.074439;-0.13378;0.22399;0.034723;0.036963;0.026465;-0.085931;-0.13038;0.048447;-0.065612;0.0044574;0.059481;-0.025223;0.18713;-0.084281;-0.011997;-0.12996;0.10523;0.14038;0.066502;-0.082233;-0.058712;0.048801;-0.073107;-0.0066645;-0.26702;0.12603;0.06624;-0.046398;0.13041;0.15838;-0.058818;-0.006994;0.015682;0.036584;0.025784;-0.015191;-0.069549;0.1205;-0.0084859;-0.07894;0.041348;-0.16008;0.0078542;0.075173;-0.089289;0.021559;-0.051634;-0.0059647;0.048794;-0.047661;0.030697;0.055494;0.0019005;0.067237;-0.0098784;0.10911
