;Coord 1;Coord 2;Coord 3;Coord 4;Coord 5;Coord 6;Coord 7;Coord 8;Coord 9;Coord 10;Coord 11;Coord 12;Coord 13;Coord 14;Coord 15
Cop_pro_D16_1_1;0.23959;-0.02111;0.030829;-0.6345;-0.53073;0.085671;-0.15767;0.25368;0.13696;0.017309;0.1255;0.12896;0.067566;-0.016974;0.2357
Cop_pro_D16_2_3;0.31632;-0.047831;-0.3002;0.16459;-0.15054;-0.26447;0.25926;-0.18071;-0.16715;0.039213;0.28917;-0.35811;-0.11624;-0.20057;0.2357
Cop_pro_D16_3_2;0.27642;-0.052079;-0.36785;0.10276;0.25284;0.11763;-0.13668;-0.26441;0.030361;-0.32846;0.011312;0.26205;0.3883;0.037192;0.2357
Cop_pro_D16_3_3;0.28902;-0.037719;-0.246;0.31555;0.084863;-0.11171;0.019578;0.58022;0.22845;0.35498;-0.23081;0.17293;-0.18533;0.074405;0.2357
Cop_pro_D16_4_1;0.2968;-0.041759;0.26999;0.16296;-0.15548;-0.021703;-0.13314;-0.0068829;-0.16759;-0.5186;-0.42778;0.073599;-0.058202;0.19974;0.2357
Cop_pro_D16_4_2;0.26797;-0.039878;0.35663;0.10197;0.051642;0.14747;-0.030242;-0.071787;0.21581;0.2288;0.24545;-0.33168;0.49709;-0.017412;0.2357
Cop_pro_D16_4_3;0.26787;-0.0521;0.31468;0.055357;0.193;0.2049;-0.028719;-0.20653;-0.0028239;0.11523;0.11786;0.037685;-0.54252;-0.13888;0.2357
Cop_ctr_D16_1_1;-0.14954;-0.1284;0.11539;0.048733;-0.18668;-0.10603;-0.063921;0.15756;-0.66615;0.016088;-0.063881;-0.22574;0.0023401;-0.070463;0.2357
Cop_ctr_D16_1_2;-0.14532;-0.041051;0.35794;-0.16961;0.30023;-0.70117;0.13513;0.075618;0.21842;-0.13744;-0.051688;0.083858;0.12391;-0.19176;0.2357
Cop_ctr_D16_1_3;-0.17206;-0.12745;0.16574;0.018026;0.22603;0.051965;-0.10068;0.048655;-0.31741;0.24359;0.38505;0.38254;0.049803;0.45117;0.2357
Cop_ctr_D16_2_1;-0.16857;-0.1248;-0.16351;-0.015155;-0.094042;0.081341;0.1128;-0.16797;-0.18793;0.28981;-0.26075;0.38742;0.23568;-0.5176;0.2357
Cop_ctr_D16_2_2;-0.034273;-0.091327;-0.19315;-0.52013;0.44865;0.13728;-0.16297;-0.14603;-0.0026149;0.062019;-0.25119;-0.26236;-0.24553;-0.018249;0.2357
Cop_ctr_D16_3_1;-0.19768;0.0083398;0.2026;0.092461;-0.29145;0.19047;0.46058;-0.33654;0.27713;0.041701;-0.14516;0.16565;-0.16378;0.1192;0.2357
Cop_ctr_D16_3_2;-0.33618;0.015512;-0.1169;0.23215;-0.16951;-0.072064;-0.52115;-0.030885;0.25307;-0.23047;0.36258;0.085725;-0.24469;-0.25548;0.2357
Cop_ctr_D16_3_3;-0.31552;-0.0086697;-0.034411;0.17831;-0.11996;0.017006;-0.32606;-0.097227;0.18176;0.2433;-0.34948;-0.37699;0.15277;0.22654;0.2357
Cop_ctr_D16_4_1;-0.016272;0.95561;-0.02856;-0.039846;0.055782;-0.0050484;0.032763;0.0049419;-0.13567;0.036514;0.0029861;0.02318;0.022375;0.017744;0.2357
Cop_ctr_D16_4_2;-0.27548;-0.055024;-0.010747;0.047354;0.18306;0.46224;0.34271;0.48315;0.044356;-0.37067;0.10779;-0.18787;0.070051;-0.16789;0.2357
Cop_ctr_D16_4_3;-0.1431;-0.11026;-0.35245;-0.14097;-0.097714;-0.21379;0.29842;-0.094848;0.061025;-0.10291;0.13304;-0.060851;-0.053602;0.46929;0.2357
