;Coord 1;Coord 2;Coord 3;Coord 4;Coord 5;Coord 6;Coord 7;Coord 8;Coord 9;Coord 10;Coord 11;Coord 12;Coord 13;Coord 14;Coord 15;Coord 16;Coord 17;Coord 18
Cop_pro_D21_1_1;0.010219;0.076974;0.16013;-0.047899;0.29367;0.033581;0.45552;0.082721;0.04597;0.38466;0.14192;0.086982;0.023996;0.0566;0.021575;0.27992;0.28682;0.20412
Cop_pro_D21_1_2;-0.14811;-0.21336;0.055202;0.22478;-0.28198;-0.18404;0.38914;-0.30797;-0.18524;-0.10007;-0.18186;0.23724;0.19588;-0.0072038;-0.18365;0.18303;-0.089589;0.20412
Cop_pro_D21_1_3;-0.058519;-0.14221;0.26018;0.077222;-0.18085;-0.12027;0.25384;-0.23829;0.3517;0.080069;0.15421;-0.43929;-0.43286;0.21369;-0.078351;-0.098855;-0.14862;0.20412
Cop_pro_D21_2_1;0.44878;-0.11861;0.0803;-0.2448;-0.14233;0.22399;-0.22707;0.036341;0.24355;0.01665;0.1835;0.089813;-0.011405;0.014708;-0.097743;-0.063712;0.028695;0.20412
Cop_pro_D21_2_2;0.025742;0.2004;0.43745;-0.14942;-0.049283;-0.30118;-0.13404;0.22924;-0.41544;-0.14172;0.11149;-0.16424;0.078689;0.19353;-0.1667;0.16381;-0.022518;0.20412
Cop_pro_D21_2_3;0.25254;-0.030897;0.18822;-0.23617;0.049038;-0.25277;-0.099841;-0.12551;-0.31175;0.1016;-0.34909;0.25808;-0.30054;-0.054439;0.21781;-0.099298;0.11414;0.20412
Cop_pro_D21_3_1;0.016128;-0.25254;0.12101;-0.035762;0.20723;0.25328;-0.28558;-0.018232;-0.070474;-0.036957;0.031338;-0.13622;-0.14848;0.15706;-0.15291;0.088165;-0.022189;0.20412
Cop_pro_D21_3_2;-0.1384;-0.32309;0.15929;-0.15125;-0.16493;0.20421;-0.15113;-0.20354;0.083039;0.042949;-0.32868;0.0097784;0.1103;-0.08286;0.2368;0.045585;0.21821;0.20412
Cop_pro_D21_3_3;-0.06611;-0.072916;0.26059;-0.18614;0.10235;-0.18471;-0.062045;-0.093241;0.17406;-0.066465;0.35736;0.036229;0.44835;-0.47278;0.051601;-0.10763;-0.30329;0.20412
Cop_pro_D21_4_1;0.11885;-0.20374;0.019118;0.17916;0.21187;0.16596;0.15306;0.34533;0.090237;0.094888;-0.19107;0.11061;0.11684;0.14018;0.37685;0.12037;-0.48952;0.20412
Cop_pro_D21_4_2;0.070012;-0.18711;-0.017233;0.21855;0.16623;0.11183;0.16638;0.12056;-0.059741;-0.017362;0.026175;-0.11353;-0.044614;-0.4713;-0.16803;-0.25313;0.46499;0.20412
Cop_pro_D21_4_3;-0.13043;-0.23547;-0.022567;0.11048;-0.17402;-0.041959;0.045925;0.59991;0.023587;-0.24129;0.028913;0.25774;-0.1413;0.1199;-0.18446;-0.25045;0.009661;0.20412
Cop_ctr_D21_1_1;-0.18276;-0.14262;-0.40563;-0.096494;0.062963;-0.33913;-0.21383;0.12755;0.12804;-0.037704;0.06701;-0.10332;-0.28253;-0.25738;0.084367;0.58096;0.02164;0.20412
Cop_ctr_D21_1_2;-0.0097594;-0.14285;-0.15222;0.20917;0.091793;0.12347;-0.21713;-0.26544;-0.065856;-0.084411;0.25701;0.055085;0.2943;0.44708;0.068129;0.12665;0.23461;0.20412
Cop_ctr_D21_1_3;-0.20285;-0.10723;-0.34933;-0.1112;0.0023459;-0.32754;-0.17493;-0.027057;-0.0038886;0.5091;-0.084474;-0.0098932;0.15933;0.17446;-0.1748;-0.4279;-0.088084;0.20412
Cop_ctr_D21_2_1;0.35917;0.037219;-0.24561;0.11545;-0.13386;-0.011261;0.026422;-0.017331;-0.018213;-0.28898;-0.30736;-0.35832;0.23459;-0.074103;-0.22212;0.097353;-0.057684;0.20412
Cop_ctr_D21_2_2;0.24457;0.29758;-0.16479;-0.22262;-0.017204;0.023192;0.19442;0.12;0.088429;0.16251;-0.20706;-0.28942;0.17587;0.062841;0.042048;-0.021996;0.017816;0.20412
Cop_ctr_D21_2_3;0.38989;0.19442;-0.23288;0.1527;-0.30623;-0.046241;0.047401;-0.14897;-0.028005;0.072261;0.35802;0.37378;-0.18821;-0.055254;0.081807;0.016265;-0.066994;0.20412
Cop_ctr_D21_3_1;-0.027631;0.054941;-0.1836;0.0039357;0.44922;0.060549;0.11294;-0.2701;-0.27557;-0.32342;0.058582;-0.08881;-0.24079;-0.034724;0.16282;-0.29124;-0.2524;0.20412
Cop_ctr_D21_3_2;-0.054543;0.27466;0.071452;0.40202;0.23971;0.066677;-0.22569;0.007349;-0.08359;0.25431;0.002482;0.026344;0.016684;-0.067264;-0.26164;0.060663;-0.037961;0.20412
Cop_ctr_D21_3_3;-0.11557;0.40212;0.13375;0.15447;0.15434;-0.22242;-0.12762;-0.052993;0.54849;-0.32032;-0.24613;0.21443;0.0082533;0.11892;0.097957;-0.10136;0.19909;0.20412
Cop_ctr_D21_4_1;-0.28521;0.15562;-0.21643;-0.54349;0.021774;0.26339;0.25659;-0.0097878;-0.014643;-0.21916;0.085068;0.16247;0.022343;0.12784;-0.17749;0.020359;0.050614;0.20412
Cop_ctr_D21_4_2;-0.22784;0.17316;-0.029841;0.13379;-0.34544;0.062294;-0.024416;0.15844;-0.20224;-0.0053193;0.19702;-0.2812;0.07448;-0.017841;0.57468;-0.14897;0.18559;0.20412
Cop_ctr_D21_4_3;-0.28817;0.30554;0.07343;0.043511;-0.2564;0.4391;-0.1583;-0.048989;-0.042448;0.16418;-0.16438;0.065659;-0.16918;-0.23165;-0.14852;0.08143;-0.25304;0.20412
