Axis;Eigenvalue;Percent
1;0.99495;32.532
2;0.55488;18.143
3;0.34011;11.121
4;0.32861;10.745
5;0.22199;7.2585
6;0.1487;4.8622
7;0.097205;3.1784
8;0.06795;2.2218
9;0.056856;1.859
10;0.049777;1.6276
11;0.044652;1.46
12;0.030009;0.9812
13;0.025015;0.81794
14;0.020635;0.67472
15;0.019471;0.63666
16;0.012426;0.40631
17;0.0099113;0.32407
18;0.0047582;0.15558
19;0.0016057;0.052501
20;-1.3751E-16;-4.4963E-15
21;-0.0019977;-0.065319
22;-0.0044299;-0.14484
23;-0.0072163;-0.23596
24;-0.015199;-0.49697
