length;treatment;day;unit
169.485;Control;Oct15;C1
141.112;Control;Oct15;C1
133.473;Control;Oct15;C1
141.448;Control;Oct15;C1
127.948;Control;Oct15;C1
136.923;Control;Oct15;C1
133.729;Control;Oct15;C1
135.443;Control;Oct15;C1
145.353;Control;Oct15;C1
133.127;Control;Oct15;C1
119.58;Control;Oct15;C1
135.968;Control;Oct15;C1
141.539;Control;Oct15;C1
144.163;Control;Oct15;C1
140.359;Control;Oct15;C1
109.281;Control;Oct15;C1
122.079;Control;Oct15;C1
164.971;Control;Oct15;C1
113.301;Control;Oct15;C1
123.983;Control;Oct15;C1
126.081;Control;Oct15;C1
131.564;Control;Oct15;C1
140.851;Control;Oct15;C1
144.799;Control;Oct15;C1
131.844;Control;Oct15;C1
127.288;Control;Oct15;C1
135.588;Control;Oct15;C1
108.073;Control;Oct15;C1
159.704;Control;Oct15;C1
135.16;Probiotic;Oct15;P1
115.157;Probiotic;Oct15;P1
130.679;Probiotic;Oct15;P1
131.042;Probiotic;Oct15;P1
110.58;Probiotic;Oct15;P1
119.382;Probiotic;Oct15;P1
124.44;Probiotic;Oct15;P1
120.305;Probiotic;Oct15;P1
135.472;Probiotic;Oct15;P1
126.332;Probiotic;Oct15;P1
122.218;Probiotic;Oct15;P1
112.705;Probiotic;Oct15;P1
109.093;Probiotic;Oct15;P1
118.05;Probiotic;Oct15;P1
133.156;Probiotic;Oct15;P1
112.554;Probiotic;Oct15;P1
123.396;Probiotic;Oct15;P1
123.964;Probiotic;Oct15;P1
140.476;Probiotic;Oct15;P1
108.571;Probiotic;Oct15;P1
111.256;Probiotic;Oct15;P1
130.823;Probiotic;Oct15;P1
104.906;PB;Oct15;P1
315.47;Control;Oct20;C1
437.071;Control;Oct20;C1
398.703;Control;Oct20;C1
358.998;Control;Oct20;C1
450.176;Control;Oct20;C1
536.137;Control;Oct20;C1
516.03;Control;Oct20;C1
498.035;Control;Oct20;C1
517.895;Control;Oct20;C1
389.732;Control;Oct20;C1
528.782;Control;Oct20;C1
529.38;Control;Oct20;C1
573.969;Control;Oct20;C1
521.364;Control;Oct20;C1
449.344;Control;Oct20;C1
426.846;Control;Oct20;C1
498.617;Control;Oct20;C1
431.085;Control;Oct20;C1
409.773;Control;Oct20;C1
499.462;Control;Oct20;C1
541.361;Control;Oct20;C1
505.045;Control;Oct20;C1
589.766;Control;Oct20;C1
602.017;Control;Oct20;C1
332.455;Control;Oct20;C1
470.555;Control;Oct20;C1
500.516;Control;Oct20;C1
513.86;Control;Oct20;C1
582.473;Control;Oct20;C1
532.705;Control;Oct20;C1
327.986;Control;Oct20;C1
509.751;Control;Oct20;C1
507.419;Control;Oct20;C1
565.392;Control;Oct20;C1
447.828;Control;Oct20;C1
490.647;Control;Oct20;C1
490.786;Control;Oct20;C1
512.555;Control;Oct20;C1
507.159;Control;Oct20;C1
471.585;Control;Oct20;C1
494.499;Control;Oct20;C1
504.094;Control;Oct20;C1
494.797;Control;Oct20;C1
353.285;Control;Oct20;C1
539.02;Control;Oct20;C1
591.453;Control;Oct20;C1
504.032;Control;Oct20;C1
549.958;Control;Oct20;C1
431.708;Control;Oct20;C1
177.98;Control;Oct20;C1
564.972;Control;Oct20;C2
526.255;Control;Oct20;C2
540.367;Control;Oct20;C2
586.001;Control;Oct20;C2
505.327;Control;Oct20;C2
552.978;Control;Oct20;C2
436.806;Control;Oct20;C2
405.415;Control;Oct20;C2
492.009;Control;Oct20;C2
500.674;Control;Oct20;C2
510.68;Control;Oct20;C2
579.234;Control;Oct20;C2
517.57;Control;Oct20;C2
489.776;Control;Oct20;C2
579.234;Control;Oct20;C2
496.934;Control;Oct20;C2
495.946;Control;Oct20;C2
490.614;Control;Oct20;C2
497.686;Control;Oct20;C2
401.155;Control;Oct20;C2
373.306;Control;Oct20;C2
617.609;Control;Oct20;C2
549.776;Control;Oct20;C2
301.861;Control;Oct20;C2
421.078;Control;Oct20;C2
512.627;Control;Oct20;C2
369.303;Control;Oct20;C2
500.011;Control;Oct20;C2
369.688;Control;Oct20;C2
397.339;Control;Oct20;C2
484.126;Control;Oct20;C2
503.875;Control;Oct20;C2
570.856;Control;Oct20;C2
450.785;Control;Oct20;C2
488.364;Control;Oct20;C2
419.07;Control;Oct20;C2
413.244;Control;Oct20;C2
414.365;Control;Oct20;C2
328.548;Control;Oct20;C2
392.642;Control;Oct20;C2
478.904;Control;Oct20;C2
528.982;Control;Oct20;C2
400.55;Control;Oct20;C2
486.547;Control;Oct20;C2
589.623;Control;Oct20;C2
614.332;Control;Oct20;C2
422.452;Control;Oct20;C2
610.226;Control;Oct20;C2
514.557;Control;Oct20;C2
493.677;Control;Oct20;C2
486.287;Control;Oct20;C2
485.104;Control;Oct20;C3
506.077;Control;Oct20;C3
512.833;Control;Oct20;C3
504.878;Control;Oct20;C3
615.789;Control;Oct20;C3
490.217;Control;Oct20;C3
506.212;Control;Oct20;C3
518.394;Control;Oct20;C3
470.69;Control;Oct20;C3
583.152;Control;Oct20;C3
494.126;Control;Oct20;C3
436.673;Control;Oct20;C3
493.891;Control;Oct20;C3
545.851;Control;Oct20;C3
520.069;Control;Oct20;C3
495.595;Control;Oct20;C3
470.69;Control;Oct20;C3
585.974;Control;Oct20;C3
459.493;Control;Oct20;C3
690.651;Control;Oct20;C3
577.566;Control;Oct20;C3
428.141;Control;Oct20;C3
471.45;Control;Oct20;C3
478.871;Control;Oct20;C3
556.143;Control;Oct20;C3
419.673;Control;Oct20;C3
365.631;Control;Oct20;C3
708.06;Control;Oct20;C3
460.627;Control;Oct20;C3
508.871;Control;Oct20;C3
506.098;Control;Oct20;C3
591.952;Control;Oct20;C3
525.232;Control;Oct20;C3
377.434;Control;Oct20;C3
457.735;Control;Oct20;C3
475.691;Control;Oct20;C3
464.569;Control;Oct20;C3
579.361;Control;Oct20;C3
478.904;Control;Oct20;C3
507.699;Control;Oct20;C3
438.901;Control;Oct20;C3
507.263;Control;Oct20;C3
553.293;Control;Oct20;C3
438.804;Control;Oct20;C3
403.434;Control;Oct20;C3
402.872;Control;Oct20;C3
505.368;Control;Oct20;C3
469.613;Control;Oct20;C3
405.961;Control;Oct20;C3
454.661;Control;Oct20;C3
495.138;Control;Oct20;C4
468.343;Control;Oct20;C4
525.423;Control;Oct20;C4
563.188;Control;Oct20;C4
