treatment,treatment_label,comparison_id,comparison_label,sample_id,n_compared,mean_similarity
Cop_pro,Probiotic-treated,within_d16,"Within nauplii
(D16)",Cop_pro_D16_1_1,6,0.49883333333333335
Cop_pro,Probiotic-treated,within_d16,"Within nauplii
(D16)",Cop_pro_D16_2_3,6,0.660494445
Cop_pro,Probiotic-treated,within_d16,"Within nauplii
(D16)",Cop_pro_D16_3_2,6,0.6425111116666666
Cop_pro,Probiotic-treated,within_d16,"Within nauplii
(D16)",Cop_pro_D16_3_3,6,0.6495666666666666
Cop_pro,Probiotic-treated,within_d16,"Within nauplii
(D16)",Cop_pro_D16_4_1,6,0.6861777783333334
Cop_pro,Probiotic-treated,within_d16,"Within nauplii
(D16)",Cop_pro_D16_4_2,6,0.6795444433333333
Cop_pro,Probiotic-treated,within_d16,"Within nauplii
(D16)",Cop_pro_D16_4_3,6,0.6826388883333333
Cop_ctr,Untreated control,within_d16,"Within nauplii
(D16)",Cop_ctr_D16_1_1,10,0.64258
Cop_ctr,Untreated control,within_d16,"Within nauplii
(D16)",Cop_ctr_D16_1_2,10,0.556303334
Cop_ctr,Untreated control,within_d16,"Within nauplii
(D16)",Cop_ctr_D16_1_3,10,0.644853333
Cop_ctr,Untreated control,within_d16,"Within nauplii
(D16)",Cop_ctr_D16_2_1,10,0.664980001
Cop_ctr,Untreated control,within_d16,"Within nauplii
(D16)",Cop_ctr_D16_2_2,10,0.49351
Cop_ctr,Untreated control,within_d16,"Within nauplii
(D16)",Cop_ctr_D16_3_1,10,0.61842
Cop_ctr,Untreated control,within_d16,"Within nauplii
(D16)",Cop_ctr_D16_3_2,10,0.578306666
Cop_ctr,Untreated control,within_d16,"Within nauplii
(D16)",Cop_ctr_D16_3_3,10,0.622230001
Cop_ctr,Untreated control,within_d16,"Within nauplii
(D16)",Cop_ctr_D16_4_1,10,0.12153
Cop_ctr,Untreated control,within_d16,"Within nauplii
(D16)",Cop_ctr_D16_4_2,10,0.614576666
Cop_ctr,Untreated control,within_d16,"Within nauplii
(D16)",Cop_ctr_D16_4_3,10,0.617576667
Cop_pro,Probiotic-treated,within_d21,"Within copepodites
(D21)",Cop_pro_D21_1_1,11,0.7302939390909091
Cop_pro,Probiotic-treated,within_d21,"Within copepodites
(D21)",Cop_pro_D21_1_2,11,0.7043818181818182
Cop_pro,Probiotic-treated,within_d21,"Within copepodites
(D21)",Cop_pro_D21_1_3,11,0.7476060618181818
Cop_pro,Probiotic-treated,within_d21,"Within copepodites
(D21)",Cop_pro_D21_2_1,11,0.5854545454545454
Cop_pro,Probiotic-treated,within_d21,"Within copepodites
(D21)",Cop_pro_D21_2_2,11,0.6670606063636364
Cop_pro,Probiotic-treated,within_d21,"Within copepodites
(D21)",Cop_pro_D21_2_3,11,0.6902727281818182
Cop_pro,Probiotic-treated,within_d21,"Within copepodites
(D21)",Cop_pro_D21_3_1,11,0.7665121209090909
Cop_pro,Probiotic-treated,within_d21,"Within copepodites
(D21)",Cop_pro_D21_3_2,11,0.7191727281818182
