"treatment","treatment_label","comparison_id","comparison_label","sample_id","n_compared","mean_similarity"
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D16_1_1",12,0.463913888333333
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D16_2_3",12,0.428055555
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D16_3_2",12,0.401977776666667
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D16_3_3",12,0.379708334166667
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D16_4_1",12,0.3870472225
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D16_4_2",12,0.348744444166667
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D16_4_3",12,0.369477778333333
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D21_1_1",7,0.458109524285714
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D21_1_2",7,0.439371427142857
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D21_1_3",7,0.424904761428571
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D21_2_1",7,0.284066667142857
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D21_2_2",7,0.421404762857143
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D21_2_3",7,0.37860476
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D21_3_1",7,0.385819045714286
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D21_3_2",7,0.393614287142857
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D21_3_3",7,0.427642857142857
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D21_4_1",7,0.374966667142857
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D21_4_2",7,0.390304762857143
"Cop_pro","Probiotic-treated","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_pro_D21_4_3",7,0.385061904285714
"Cop_pro","Probiotic-treated","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_pro_D16_1_1",12,0.2367222225
"Cop_pro","Probiotic-treated","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_pro_D16_2_3",12,0.236211110833333
"Cop_pro","Probiotic-treated","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_pro_D16_3_2",12,0.184861111666667
"Cop_pro","Probiotic-treated","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_pro_D16_3_3",12,0.219469444166667
"Cop_pro","Probiotic-treated","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_pro_D16_4_1",12,0.280638888333333
"Cop_pro","Probiotic-treated","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_pro_D16_4_2",12,0.234099999166667
"Cop_pro","Probiotic-treated","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_pro_D16_4_3",12,0.230000001666667
"Cop_pro","Probiotic-treated","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_pro_D24_1_1",7,0.265290475714286
"Cop_pro","Probiotic-treated","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_pro_D24_1_2",7,0.211223808571429
