"treatment","day","unit","n_individuals"
"control","Oct15","C1",29
"control","Oct20","C1",50
"control","Oct20","C2",51
"control","Oct20","C3",50
"control","Oct20","C4",54
"control","Oct23","C1",41
"control","Oct23","C2",52
"control","Oct23","C3",50
"control","Oct23","C4",56
"probiotic","Oct15","P1",23
"probiotic","Oct20","P1",50
"probiotic","Oct20","P2",52
"probiotic","Oct20","P3",50
"probiotic","Oct20","P4",50
"probiotic","Oct23","P1",44
"probiotic","Oct23","P2",60
"probiotic","Oct23","P3",66
"probiotic","Oct23","P4",51
